provinsi,kabkota,latlng,lat,lng,zoom
Aceh,Kabupaten Aceh Barat,"4.4513547,96.0209948,11z",4.4513547,96.0209948,11
Aceh,Kabupaten Aceh Barat Daya,"3.8354822,96.7024513,11z",3.8354822,96.7024513,11
Aceh,Kabupaten Aceh Besar,"5.4042128,95.2606207,11z",5.4042128,95.2606207,11
Aceh,Kabupaten Aceh Jaya,"4.8110668,95.3367145,10z",4.8110668,95.3367145,10
Aceh,Kabupaten Aceh Selatan,"3.0701233,97.095313,10z",3.0701233,97.095313,10
Aceh,Kabupaten Aceh Singkil,"2.3072284,97.3025974,10z",2.3072284,97.3025974,10
Aceh,Kabupaten Aceh Tamiang,"4.218477,97.8366472,11z",4.218477,97.8366472,11
Aceh,Kabupaten Aceh Tengah,"4.5624343,96.485232,10z",4.5624343,96.485232,10
Aceh,Kabupaten Aceh Tenggara,"3.3380147,97.4524953,11z",3.3380147,97.4524953,11
Aceh,Kabupaten Aceh Timur,"4.702724,97.3095986,10z",4.702724,97.3095986,10
Aceh,Kabupaten Aceh Utara,"4.9936249,96.9858828,11z",4.9936249,96.9858828,11
Aceh,Kabupaten Bener Meriah,"4.7747743,96.8275877,11z",4.7747743,96.8275877,11
Aceh,Kabupaten Bireuen,"5.083007,96.4596367,11z",5.083007,96.4596367,11
Aceh,Kabupaten Gayo Lues,"3.9809833,96.9938969,10z",3.9809833,96.9938969,10
Aceh,Kabupaten Nagan Raya,"4.1764411,96.176141,10z",4.1764411,96.176141,10
Aceh,Kabupaten Pidie,"5.1132844,95.7571467,10z",5.1132844,95.7571467,10
Aceh,Kabupaten Pidie Jaya,"5.1047772,96.1128149,12z",5.1047772,96.1128149,12
Aceh,Kabupaten Simeulue,"2.5384665,95.7094494,10z",2.5384665,95.7094494,10
Aceh,Kota Banda Aceh,"5.5611015,95.308103,14z",5.5611015,95.308103,14
Aceh,Kota Langsa,"4.5064178,97.9591347,13z",4.5064178,97.9591347,13
Aceh,Kota Lhokseumawe,"5.1718887,97.0664366,13z",5.1718887,97.0664366,13
Aceh,Kota Sabang,"5.9666912,95.1534602,12z",5.9666912,95.1534602,12
Aceh,Kota Subulussalam,"2.7572146,97.7768633,11z",2.7572146,97.7768633,11
Sumatera Utara,Kabupaten Asahan,"2.84683,99.2037054,10z",2.84683,99.2037054,10
Sumatera Utara,Kabupaten Batu Bara,"3.2304447,99.3151977,11z",3.2304447,99.3151977,11
Sumatera Utara,Kabupaten Dairi,"2.8353721,98.0907196,11z",2.8353721,98.0907196,11
Sumatera Utara,Kabupaten Deli Serdang,"3.479921,98.3774679,10z",3.479921,98.3774679,10
Sumatera Utara,Kabupaten Humbang Hasundutan,"2.2478326,98.4423237,11z",2.2478326,98.4423237,11
Sumatera Utara,Kabupaten Karo,"3.0998183,98.1068777,11z",3.0998183,98.1068777,11
Sumatera Utara,Kabupaten Labuhanbatu,"2.2698665,99.6835963,10z",2.2698665,99.6835963,10
Sumatera Utara,Kabupaten Labuhanbatu Selatan,"1.8337674,99.8956913,11z",1.8337674,99.8956913,11
Sumatera Utara,Kabupaten Labuhanbatu Utara,"2.4255859,99.4045948,10z",2.4255859,99.4045948,10
Sumatera Utara,Kabupaten Langkat,"3.760077,97.9021195,10z",3.760077,97.9021195,10
Sumatera Utara,Kabupaten Mandailing Natal,"0.7795921,99.0591458,10z",0.7795921,99.0591458,10
Sumatera Utara,Kabupaten Nias,"1.084305,97.5652972,11z",1.084305,97.5652972,11
Sumatera Utara,Kabupaten Nias Barat,"0.9823155,97.3750369,12z",0.9823155,97.3750369,12
Sumatera Utara,Kabupaten Nias Selatan,"0.1979917,97.9039809,10z",0.1979917,97.9039809,10
Sumatera Utara,Kabupaten Nias Utara,"1.310162,97.1246022,11z",1.310162,97.1246022,11
